instrument,register,n_samples,MFCC_0,MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12
English_Horn,grave,28,3.5121,40.7800,-27.0579,10.9399,-17.6520,0.9674,-3.1373,-4.7268,1.5653,-8.7790,1.1193,-6.7554,-1.9486
Bass_Flute,aigu,15,4.8712,32.7873,-26.9822,16.8326,-19.4599,5.4594,-4.3059,-3.3394,6.8638,-5.2241,6.9968,-4.4834,2.3016
Clarinet_Bb,clarine,42,-30.4015,28.2754,-24.3331,3.9190,-11.0927,1.0991,-3.6290,-2.4386,2.7406,-3.8315,4.6181,-0.1319,3.6848
Violoncello_Ensemble+sordina,suraigu,6,-0.1396,32.5601,-27.4375,17.8161,-14.1162,4.2766,-3.0362,-3.2183,3.5394,-8.1945,3.5766,-4.7734,2.3685
Viola_Ensemble+sordina,aigu,12,-3.7075,30.5344,-27.7678,16.5779,-14.4311,3.6895,-5.0741,-6.1758,2.2074,-7.4503,4.6052,-3.5896,2.1554
Violin+sordina,médium,78,-23.2964,29.2222,-22.1731,13.4233,-9.2781,0.4772,-4.0658,-3.5715,1.4338,-6.4822,2.6719,-3.0734,0.1857
Trombone+sordina_cup,aigu,6,-36.9796,30.4004,-17.0283,2.2861,-15.7123,-1.4526,-1.8891,-1.9374,2.2510,-3.9368,2.7082,-2.2122,-0.0887
Clarinet_Eb,médium,12,-2.3423,31.5071,-34.3735,11.0342,-12.3520,3.6869,-3.4020,-3.6185,4.6894,-1.8232,9.5963,0.6953,4.8898
Trumpet_C+sordina_wah,médium,16,-41.0831,30.1036,-16.3427,3.2869,-10.1573,-0.4348,-2.9625,-3.4535,-0.3392,-3.6332,2.4941,-3.3723,-0.0850
Violoncello_Ensemble,suraigu,23,0.0738,33.8424,-29.1594,13.8274,-14.3165,5.3297,-3.1726,-4.2075,3.3277,-7.5412,3.7553,-4.6858,1.4863
Violin,médium,81,-17.6368,31.0647,-25.3941,11.6107,-9.9124,1.2779,-3.8747,-4.0369,1.3881,-5.9913,3.1171,-3.3661,0.1802
Vibraphone,aigu,6,-28.6733,31.0895,-14.8631,11.0466,-12.9143,2.4393,-1.1553,-0.1596,4.8347,-2.9480,5.1507,-3.2564,1.8322
Trombone+sordina_harmon,aigu,6,-32.5812,27.3795,-19.6218,9.2874,-9.5272,1.2836,-4.5498,-2.3395,3.3256,-6.1037,-0.0696,-5.2290,0.4462
Oboe+sordina,grave,10,-14.9079,39.2672,-22.5953,4.2301,-13.1350,1.4465,-3.0427,-2.4623,0.5963,-7.0110,2.5654,-3.7215,0.9203
Trumpet_C,grave,17,-21.1526,34.6296,-20.3810,8.3097,-11.8264,1.7798,-2.5935,-3.1077,1.6433,-5.7835,2.2173,-4.1837,-0.1977
English_Horn,médium,48,-1.4392,35.2065,-32.1468,7.1376,-19.6521,-1.5653,-4.1785,-4.8437,1.8894,-7.5603,2.3773,-4.3992,0.7988
Viola_Ensemble,aigu,48,-3.6950,32.2037,-30.7179,11.3671,-13.8613,3.8018,-5.0751,-5.4207,1.8694,-7.3859,4.3076,-4.2057,1.8566
Violoncello+sordina,suraigu,42,-17.3028,27.4288,-24.0337,14.8406,-11.7272,4.6107,-2.5980,-4.0760,2.6590,-5.3757,4.8942,-2.8802,2.3249
